O*NET-SOC CODE	TITLE	TASKS
51-4072.01	Plastic Molding and Casting Machine Setters and Set-Up Operators	Weighs premixed compounds and dumps compound into die well or fills hoppers of machines that automatically supply compound to die.
51-4072.01	Plastic Molding and Casting Machine Setters and Set-Up Operators	Reads specifications to determine setup and prescribed temperature and time settings to mold, form, or cast plastic materials.
51-4072.01	Plastic Molding and Casting Machine Setters and Set-Up Operators	Sets machine controls to regulate molding temperature, volume, pressure, and time, according to knowledge of plastics and molding procedures.
51-4072.01	Plastic Molding and Casting Machine Setters and Set-Up Operators	Mixes catalysts, thermoplastic materials, and coloring pigments according to formula, using paddle and mixing machine.
51-4072.01	Plastic Molding and Casting Machine Setters and Set-Up Operators	Repairs and maintains machines and auxiliary equipment, using hand tools and power tools.
51-4072.01	Plastic Molding and Casting Machine Setters and Set-Up Operators	Trims excess material from part, using knife, and grinds scrap plastic into powder for reuse.
51-4072.01	Plastic Molding and Casting Machine Setters and Set-Up Operators	Removes finished or cured product from dies or mold, using hand tools and airhose.
51-4072.01	Plastic Molding and Casting Machine Setters and Set-Up Operators	Measures and visually inspects products for surface and dimension defects, using precision measuring instruments, to ensure conformance to specifications.
51-4072.02	Plastic Molding and Casting Machine Operators and Tenders	Starts machine that automatically liquefies plastic material in heating chamber, injects liquefied material into mold, and ejects molded product.
51-4072.02	Plastic Molding and Casting Machine Operators and Tenders	Observes meters and gauges to verify specified temperatures, pressures, and press-cycle times.
51-4072.02	Plastic Molding and Casting Machine Operators and Tenders	Turns valves and dials of machines to regulate pressure and temperature, to set press-cycle time, and to close press.
51-4072.02	Plastic Molding and Casting Machine Operators and Tenders	Observes continuous operation of automatic machine and width and alignment of plastic sheeting to ensure side flanges.
51-4072.02	Plastic Molding and Casting Machine Operators and Tenders	Weighs prescribed amounts of material for molded part and finished product to ensure specifications are maintained.
51-4072.02	Plastic Molding and Casting Machine Operators and Tenders	Removes product from mold or conveyor, and cleans and reloads mold.
51-4072.02	Plastic Molding and Casting Machine Operators and Tenders	Positions mold frame to correct alignment and tubs containing mixture on top of mold to facilitate loading of molds.
51-4072.02	Plastic Molding and Casting Machine Operators and Tenders	Examines molded product for surface defects, such as dents, bubbles, thin areas, and cracks.
51-4072.02	Plastic Molding and Casting Machine Operators and Tenders	Fills tubs, molds, or cavities of machine with plastic material in solid or liquid form prior to activating machine.
51-4072.02	Plastic Molding and Casting Machine Operators and Tenders	Mixes and pours liquid plastic into rotating drum of machine that spreads, hardens, and shapes mixture.
51-4072.02	Plastic Molding and Casting Machine Operators and Tenders	Pulls level and toggle latches to fill mold and regulate tension on sheeting and to release mold covers.
51-4072.02	Plastic Molding and Casting Machine Operators and Tenders	Dumps plastic powder, preformed plastic pellets, or preformed rubber slugs into hopper of molding machine.
51-4072.02	Plastic Molding and Casting Machine Operators and Tenders	Heats plastic material prior to forming product or cools product after processing to prevent distortion.
51-4072.02	Plastic Molding and Casting Machine Operators and Tenders	Breaks seals that hold plastic product in molds, using hand tool, and removes product from mold.
51-4072.02	Plastic Molding and Casting Machine Operators and Tenders	Feels stiffness and consistency of molded sheeting to detect machinery malfunction.
51-4072.02	Plastic Molding and Casting Machine Operators and Tenders	Reports defect in molds to supervisor.
51-4072.02	Plastic Molding and Casting Machine Operators and Tenders	Signals coworker to synchronize feed of materials into molding process.
51-4072.02	Plastic Molding and Casting Machine Operators and Tenders	Trims flashing from product.
51-4072.02	Plastic Molding and Casting Machine Operators and Tenders	Throws flash and rejected parts into grinder machine to be recycled.
51-4072.02	Plastic Molding and Casting Machine Operators and Tenders	Stacks molded parts in boxes or on conveyor for subsequent processing or leaves parts in mold to cool.
51-4072.03	Metal Molding, Coremaking, and Casting Machine Setters and Set-Up Operators	Moves controls to start, set, or adjust casting, molding, or pressing machines.
51-4072.03	Metal Molding, Coremaking, and Casting Machine Setters and Set-Up Operators	Cleans and lubricates casting machine and dies, using airhose and brushes.
51-4072.03	Metal Molding, Coremaking, and Casting Machine Setters and Set-Up Operators	Inspects castings and core slots for defects, using fixed gauges.
51-4072.03	Metal Molding, Coremaking, and Casting Machine Setters and Set-Up Operators	Repairs or replaces worn or defective machine parts and dies.
51-4072.03	Metal Molding, Coremaking, and Casting Machine Setters and Set-Up Operators	Obtains and moves specified pattern to work station, manually or using hoist, and secures pattern to machine, using wrenches.
51-4072.03	Metal Molding, Coremaking, and Casting Machine Setters and Set-Up Operators	Removes castings from dies and dips castings in water to cool, using pliers or tongs.
51-4072.03	Metal Molding, Coremaking, and Casting Machine Setters and Set-Up Operators	Preheats die sections with torch or electric heater.
51-4072.03	Metal Molding, Coremaking, and Casting Machine Setters and Set-Up Operators	Pours molten metal into cold-chamber machine or cylinders, using hand ladle.
51-4072.03	Metal Molding, Coremaking, and Casting Machine Setters and Set-Up Operators	Connects water hose to cooling system of die, using hand tools.
51-4072.03	Metal Molding, Coremaking, and Casting Machine Setters and Set-Up Operators	Loads metal ingots or aluminum bars into melting furnace, and transfers molten metal to reservoir of die casting machine.
51-4072.03	Metal Molding, Coremaking, and Casting Machine Setters and Set-Up Operators	Stacks and mounts rotor core laminations over keyed mandrel of casting machine, and removes and stamps rotor with identifying data.
51-4072.03	Metal Molding, Coremaking, and Casting Machine Setters and Set-Up Operators	Lines cylinder pot with asbestos strips and disk to prevent chilling.
51-4072.03	Metal Molding, Coremaking, and Casting Machine Setters and Set-Up Operators	Loads die sections into machine, using equipment such as chain fall or hoist, and secures in position, using hand tools.
51-4072.04	Metal Molding, Coremaking, and Casting Machine Operators and Tenders	Starts and operates furnace, oven, diecasting, coremaking, metal molding, or rotating machines to pour metal or create molds and casts.
51-4072.04	Metal Molding, Coremaking, and Casting Machine Operators and Tenders	Removes casting from mold, mold from press, or core from core box, using tongs, pliers, hydraulic ram, or by inversion.
51-4072.04	Metal Molding, Coremaking, and Casting Machine Operators and Tenders	Pours or loads metal or sand into melting pot, furnace, mold, core box or hopper, using shovel, ladle, or machine.
51-4072.04	Metal Molding, Coremaking, and Casting Machine Operators and Tenders	Inspects metal casts, and molds for cracks, bubbles, or other defects and measures castings to ensure specifications met.
51-4072.04	Metal Molding, Coremaking, and Casting Machine Operators and Tenders	Cleans, glues, and racks cores, ingots, or finished products for storage.
51-4072.04	Metal Molding, Coremaking, and Casting Machine Operators and Tenders	Cuts spouts and pouring holes in molds and sizes hardened cores, using saws.
51-4072.04	Metal Molding, Coremaking, and Casting Machine Operators and Tenders	Signals or directs other workers to load conveyor, spray molds, or remove ingots.
51-4072.04	Metal Molding, Coremaking, and Casting Machine Operators and Tenders	Requisitions molds and supplies and inventories and records finished products.
51-4072.04	Metal Molding, Coremaking, and Casting Machine Operators and Tenders	Weighs metals and powders and computes amounts of materials necessary to produce mixture of specified content.
51-4072.04	Metal Molding, Coremaking, and Casting Machine Operators and Tenders	Smoothes and cleans inner surface of mold, using brush, scraper, airhose, or grinding wheel, and fills imperfections with refractory material.
51-4072.04	Metal Molding, Coremaking, and Casting Machine Operators and Tenders	Sprays, smokes, or coats molds with compounds to lubricate or insulate mold, using acetylene torches or sprayers.
